type,typeDescription,productBrand,productBarcode,productCode,productDescription,productPic,productDatasheet,cost,currency,supplyer,note,.
Display and operation,Display and operation,Siemens,,5WG1115-3AB01,AP 115/01 Surface-mounting pushbuttons IP44  single  push button position  gray,,,99.9,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1115-3AB11,AP 115/11 Surface-mounting pushbuttons IP44  double  middle position  gray,,,119.25,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1115-3AB21,AP 115/21 Pushbutton  single  pushbutton position  1 LED  IP 44  gray,,,91.35,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1115-3AB31,AP 115/31 Pushbutton  double  pushbutton position  IP 44  gray,,,100.35,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1116-2AB01,UP 116/01 DELTA bus coupling unit  single  intermediate position  with 2 LEDs,,,59.85,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1116-2AB11,UP 116/11 DELTA bus coupling unit  double  intermediate position  with 2 LEDs,,,69.3,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1116-2AB21,UP 116/21 DELTA bus coupling unit  single  pushbutton position  with 2 LEDs,,,53.1,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1116-2AB31,UP 116/31 DELTA bus coupling unit  double  pushbutton position  with 2 LEDs,,,58.05,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1152-1AB01,N 152/01 IP Control Center,,,1782.45,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1204-8AB01,S 204/01 Contouch ?ash kit  with micro SDHC card and adapters for USB and SD ,,,38.7,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1211-2DB01,UP 211/01 Touch sensor unit  single,,,146.7,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1211-8DB11,UP 211/11 Touch sensor cover  single  white,,,27.9,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1211-8DB21,UP 211/21 Touch sensor cover  single  black,,,27.45,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1212-2DB01,UP 212/01 Touch sensor unit  double,,,185.85,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1212-8DB11,UP 212/11 Touch sensor cover  double  white,,,40.05,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1212-8DB21,UP 212/21 Touch sensor cover  double  black,,,39.15,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1213-2DB01,UP 213/01 Touch sensor unit  quadruple,,,234.45,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1213-8DB11,UP 213/11 Touch sensor cover  quadruple  white,,,63.9,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1213-8DB21,UP 213/21 Touch sensor cover  quadruple  black,,,63.9,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1221-2DB12,UP 221/12 Pushbutton  single  without status LED  tit white  i-system,,,82.35,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1221-2DB13,UP 221/13 Pushbutton  single  with status LED  tit white  i-system,,,95.4,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1221-2DB32,UP 221/32 Pushbutton  single  without status LED  alu metallic,,,88.65,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1221-2DB33,UP 221/33 Pushbutton  single  with status LED  alu metallic,,,102.6,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1221-8NB12,"S 221N12 Frame 55 - 4 x 4  tit white (similar to RAL 9010)  for 4"" x 4"" Box (double gang box) ",,,7.2,NZD,Siemens,,.
Display and operation,Display and operation,Siemens,,5WG1222-2DB12,UP 222/12 Pushbutton  double  without status LED  tit white  i-system,,,102.15,NZD,Siemens,,.
